"Country","City/Town","Address/Location","Latitude","Longitude","Coordinates","Location Type","ID #","Incident Reporting Date","Incident Start Date","Incident End Date","Trafficking Type","Trafficking Sub-Type","Recruitment Method","Control Method","Transportation Method","Trafficker Nationality","Trafficker Gender","Trafficker Age","Victim Nationality","Victim Gender","Victim Age","Incident Summary","URL Source Article","Info Source","BoI Name","BOI Type","BoI Location","BoI Open Hours","Data Provider","Data Source"
"Vatican","","","","","41.90225,12.4533","Target","600e1fd9c1c15948264d3ea8","","","","Child Sexual Exploitation","Illicit Activities","","Sexual Abuse","","","","","","","","","https://www.theintelligencer.com/news/article/In-a-first-for-Spain-Jesuits-admit-to-decades-of-15890449.php","Internet/URL","","","","","","tah"
"Italy","","","","","41.89193,12.51133","Source","600e1fd9c1c15948264d3ea8","","","","Child Sexual Exploitation","Illicit Activities","","Sexual Abuse","","","","","","","","","https://www.theintelligencer.com/news/article/In-a-first-for-Spain-Jesuits-admit-to-decades-of-15890449.php","Internet/URL","","","","","","tah"
"United States","","","","","64.00028,-150.00028","Unknown","600e1fd9c1c15948264d3ea8","","","","Child Sexual Exploitation","Illicit Activities","","Sexual Abuse","","","","","","","","","https://www.theintelligencer.com/news/article/In-a-first-for-Spain-Jesuits-admit-to-decades-of-15890449.php","Internet/URL","","","","","","tah"
"Spain","","","","","40.48935,-3.68275","Arrest","600e1fd9c1c15948264d3ea8","","","","Child Sexual Exploitation","Illicit Activities","","Sexual Abuse","","","","","","","","","https://www.theintelligencer.com/news/article/In-a-first-for-Spain-Jesuits-admit-to-decades-of-15890449.php","Internet/URL","","","","","","tah"
"Fiji","","","","","-18,178","Source","600e1fd9c1c15948264d3eeb","","","","Child Labour","","","Minor","","","","","","","","","https://www.fijitimes.com/anne-children-sell-food-on-streets-to-help-guardians/","Internet/URL","","","","","","tah"
"Nepal","","","","","28,84","Source","600e1fd9c1c15948264d3ec2","","","","Child Labour","Servitude","","Minor","","","","","","","","","https://nepalesevoice.com/highlight/urge-to-implement-nhrc-recommendations/","Internet/URL","","","","","","tah"
"France","","","","","48.8534,2.3486","Unknown","600e1fd9c1c15948264d3ec2","","","","Child Labour","Servitude","","Minor","","","","","","","","","https://nepalesevoice.com/highlight/urge-to-implement-nhrc-recommendations/","Internet/URL","","","","","","tah"
"South Korea","","","","","37.58333,127","Reference","600e1fd9c1c15948264d3ec6","","","","Child Sexual Exploitation","Illicit Activities","","Minor","","","","","","","","","http://www.koreatimes.co.kr/www/opinion/2021/01/197_302944.html","Internet/URL","","","","","","tah"
"North Korea","","","","","40,127","Target","600e1fd9c1c15948264d3ec6","","","","Child Sexual Exploitation","Illicit Activities","","Minor","","","","","","","","","http://www.koreatimes.co.kr/www/opinion/2021/01/197_302944.html","Internet/URL","","","","","","tah"
"United Kingdom","","","","","54.75844,-2.69531","Trafficker_Origin_Nationality","600e1fd9c1c15948264d3ec6","","","","Child Sexual Exploitation","Illicit Activities","","Minor","","","","","","","","","http://www.koreatimes.co.kr/www/opinion/2021/01/197_302944.html","Internet/URL","","","","","","tah"
"United States","","","","","32.77347,-92.4057","Unknown","600e29f36d1179f8bd82b41d","","","","Child Trafficking","Sexual Servitude","","Forced","","","","","","","","","https://www.fgazette.com/opinion/human-trafficking-whats-your-role","Internet/URL","","","","","","tah"
"United States","","","","","34.05223,-118.24368","Arrest","600e29f36d1179f8bd82b406","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://ktla.com/news/local-news/33-missing-children-including-some-who-were-sexually-exploited-found-during-multi-agency-operation-in-socal/","Internet/URL","","","","","","tah"
"United States","","","","","31.25044,-99.25061","Unknown","600e29f36d1179f8bd82b41a","","","","Child Trafficking","","","Minor","","","","","","","","","https://www.kgns.tv/2021/01/22/lpd-brings-awareness-to-human-trafficking-prevention-month/","Internet/URL","","","","","","tah"
"United States","","","","","47.60621,-122.33207","Trafficker_Origin_Nationality","600e29f36d1179f8bd82b422","","","","Child Trafficking","Sexual Servitude","","Psychological Abuse/Threat or Force","AIRPORT","","","","","","","","https://southseattleemerald.com/2021/01/23/port-of-seattle-human-trafficking-awareness-campaign-results-in-higher-call-volumes-to-national-human-trafficking-hotline/","Internet/URL","","","","","","tah"
"United States","","","","","47.49084,-121.83583","Trafficker_Origin_Nationality","600e29f36d1179f8bd82b422","","","","Child Trafficking","Sexual Servitude","","Psychological Abuse/Threat or Force","AIRPORT","","","","","","","","https://southseattleemerald.com/2021/01/23/port-of-seattle-human-trafficking-awareness-campaign-results-in-higher-call-volumes-to-national-human-trafficking-hotline/","Internet/URL","","","","","","tah"
"Bangladesh","","","","","24.98597,89.30014","Unknown","600e1fd9c1c15948264d3eb3","","","","Child Labour","Pre-School/Child Day Care Service","","Minor","TRUCK","","","","","","","","https://www.thehindu.com/education/impact-of-the-pandemic-on-adolescent-girls-lives/article33641752.ece","Internet/URL","","","","","","tah"
"India","","","","","21.5,82","Unknown","600e1fd9c1c15948264d3eb3","","","","Child Labour","Pre-School/Child Day Care Service","","Minor","TRUCK","","","","","","","","https://www.thehindu.com/education/impact-of-the-pandemic-on-adolescent-girls-lives/article33641752.ece","Internet/URL","","","","","","tah"
"India","","","","","20.5,84.41667","Unknown","600e1fd9c1c15948264d3eb3","","","","Child Labour","Pre-School/Child Day Care Service","","Minor","TRUCK","","","","","","","","https://www.thehindu.com/education/impact-of-the-pandemic-on-adolescent-girls-lives/article33641752.ece","Internet/URL","","","","","","tah"
"Nepal","","","","","28,84","Source","600e1fd9c1c15948264d3ec5","","","","Child Labour","Sexual Servitude","","Minor","","","","","","","","","https://nepal24hours.com/urge-to-implement-national-human-rights-commission-recommendations/","Internet/URL","","","","","","tah"
"France","","","","","48.8534,2.3486","Unknown","600e1fd9c1c15948264d3ec5","","","","Child Labour","Sexual Servitude","","Minor","","","","","","","","","https://nepal24hours.com/urge-to-implement-national-human-rights-commission-recommendations/","Internet/URL","","","","","","tah"
"India","","","","","30.91667,75.41667","Unknown","600e1fd9c1c15948264d3eaa","","","","Child Marriage","Child Marriage","","Minor","","","","","","","","","https://www.tribuneindia.com/news/punjab/ensure-action-in-child-marriage-cases-hc-202208","Internet/URL","","","","","","tah"
"India","","","","","29.25,76.33333","Unknown","600e1fd9c1c15948264d3eaa","","","","Child Marriage","Child Marriage","","Minor","","","","","","","","","https://www.tribuneindia.com/news/punjab/ensure-action-in-child-marriage-cases-hc-202208","Internet/URL","","","","","","tah"
"India","","","","","30.73629,76.7884","Unknown","600e1fd9c1c15948264d3eaa","","","","Child Marriage","Child Marriage","","Minor","","","","","","","","","https://www.tribuneindia.com/news/punjab/ensure-action-in-child-marriage-cases-hc-202208","Internet/URL","","","","","","tah"
"United States","","","","","39.76838,-86.15804","Reference","600e29f36d1179f8bd82b412","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","http://www.wbiw.com/2021/01/22/washington-county-sheriff-january-is-human-trafficking-prevention-month/","Internet/URL","","","","","","tah"
"United States","","","","","45.56007,-123.09849","Arrest","600e29f36d1179f8bd82b412","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","http://www.wbiw.com/2021/01/22/washington-county-sheriff-january-is-human-trafficking-prevention-month/","Internet/URL","","","","","","tah"
"United States","","","","","29.42412,-98.49363","Arrest","600e29f36d1179f8bd82b423","","","","Child Trafficking","","","Minor","","","","","","","","","https://www.tpr.org/podcast/the-source/2021-01-20/pandemic-fallout-is-fueling-an-increase-in-human-trafficking-hindering-efforts-to-combat-it","Internet/URL","","","","","","tah"
"Jordan","","","","","31.95522,35.94503","Unknown","600e1fd9c1c15948264d3ec9","","","","Child Labour","Pre-School/Child Day Care Service","","Forced","CAR","","","","","","","","https://www.straitstimes.com/world/middle-east/covid-19-pandemic-forces-jordanian-children-into-labour-market","Internet/URL","","","","","","tah"
